date,registrations,total_questions_asked,total_users_asking_questions
2019-08-28,4278,29333,14179
2019-08-29,4299,33907,16019
2019-08-30,4245,32330,15748
2019-08-31,3830,30895,14830
2019-09-01,3959,34780,15645
2019-09-02,3310,29310,13604
2019-09-03,3975,28290,14009
2019-09-04,4050,28185,14178
2019-09-05,3616,28074,13712
2019-09-06,4124,29776,14395
2019-09-07,4205,30058,14491
2019-09-08,5780,39690,17728
2019-09-09,5033,32695,15160









