2019-08-29,20673,20110,275238,70353,508156,74996
2019-08-30,23656,22838,264562,69509,490048,74961
2019-08-31,17308,16653,236103,61601,448731,67444
2019-09-01,16610,16001,261222,61470,502767,72891
2019-09-02,13918,13177,229634,56869,507819,67897
2019-09-03,14548,14906,240444,61646,481315,71685
2019-09-04,13629,14100,238425,60766,460647,68376
2019-09-05,13860,14195,226561,58218,461631,66950
2019-09-06,15839,16190,235796,62859,478618,70133
2019-09-07,15892,16049,228592,61392,469660,69978
2019-09-08,20150,19432,285898,68321,582278,79568
2019-09-09,18356,17030,239108,63061,471702,71347
2019-09-10,27106,23756,293803,75601,580016,82894
2019-09-11,25921,22970,269236,72105,535712,79483
